NAFO_zone,mean_vulnerability,sd_vulnerability,mean_s_thermal_safety_margin,sd_s_thermal_safety_margin,mean_e_climate_velocity,sd_e_climate_velocity,mean_e_time_climate_emergence,sd_e_time_climate_emergence,mean_ac_thermal_habitat_availability,sd_ac_thermal_habitat_availability
2G,0.413590531,0.032638184,0.027878101,0.008594942,0.022489252,0.042136917,0.069483451,0,0.352676015,0.152580105
2H,0.408443861,0.041239273,0.050236231,0.016307356,0.013610098,0.023767809,0.072514524,0.020183826,0.436961472,0.165792802
2J,0.394216311,0.03571502,0.09589785,0.02793705,0.027453522,0.04654357,0.070048126,0.00412161,0.513354607,0.141413384
3K,0.387042494,0.034475979,0.268729553,0.115070519,0.057663223,0.093846277,0.071480996,0.007665798,0.597131609,0.108075684
3L,0.429708219,0.045896787,0.674611777,0.226474214,0.053810219,0.078890829,0.083311661,0.028536816,0.747625286,0.081115233
3N,0.487921677,0.031491451,1,0,0.046397349,0.071029815,0.261712704,0.16512184,0.847850939,0.016468116
3O,0.485195329,0.030052787,1,0,0.027370456,0.028509124,0.420071409,0.290811535,0.81452877,0.046349015
3Pn,0.466924104,0.034081259,1,0,0.157124456,0.113634969,0.206881585,0.109477561,0.827342371,0.014152918
3Ps,0.471652876,0.036078634,0.987872686,0.040438783,0.061531755,0.101143443,0.208862561,0.124832576,0.841126008,0.011953826
4R,0.474830685,0.033135333,0.83277042,0.237588626,0.048122084,0.070172236,0.203648274,0.137620296,0.622698494,0.107840211
4S,0.465875492,0.030746381,0.835001885,0.161809935,0.075589021,0.110533776,0.142048238,0.082824447,0.603663826,0.050774209
4T,0.519598411,0.050069857,0.968315798,0.08536323,0.063883351,0.087412037,0.483577171,0.274714332,0.616671251,0.034938172
4Vn,0.494240224,0.044625421,1,0,0.167013231,0.238159292,0.387568352,0.155083981,0.75986733,0.052982705
4Vs,0.476423457,0.034712947,1,0,0.077805466,0.099885545,0.422747954,0.171748102,0.803605176,0.031515014
4W,0.507844278,0.035435878,1,0,0.040780185,0.068466787,0.62435691,0.330915587,0.751649217,0.067185424
4X,0.53067761,0.0487309,0.88604545,0.205888391,0.092948385,0.159784134,0.850385095,0.248057093,0.781688792,0.057032728
5Y,0.548811807,0.0634674,0.739921122,0.300580508,0.213446769,0.201673683,0.927608144,0.156651111,0.784265292,0.023756143
5Ze,0.552518041,0.028979194,1,0,0.029923514,0.025432426,1,0,0.736961634,0.058024717
